Estuary	Parameter	Value	Metadata
WestMississippiSound	Forest (km2) total	22962.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WinyahBay	Forest (km2) total	22815.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AltamahaRiver	Forest (km2) percent	62.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalacheeBay	Forest (km2) percent	60.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalachicolaBay	Forest (km2) percent	58.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AransasBay	Forest (km2) percent	29.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Atchafalaya-VermillionBays	Forest (km2) percent	33	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaffinBay	Forest (km2) percent	1.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaratariaBay	Forest (km2) percent	0.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BiscayneBay	Forest (km2) percent	6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Breton-ChandeleurSound	Forest (km2) percent	2.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BroadRiver	Forest (km2) percent	29.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlestonHarbor	Forest (km2) percent	60.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlotteHarbor	Forest (km2) percent	6.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CorpusChristi	Forest (km2) percent	16.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
EastMississippiSound	Forest (km2) percent	71.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
GalvestonBay	Forest (km2) percent	26.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
IndianRiver	Forest (km2) percent	4.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakeBorgne	Forest (km2) percent	60.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakePontchartrain	Forest (km2) percent	51	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LowerLagunaMadre	Forest (km2) percent	5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MatagordaBay	Forest (km2) percent	17.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MermentauRiver	Forest (km2) percent	8.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Mississippi-AtchafalayaPlume	Forest (km2) percent	21.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MississippiRiver	Forest (km2) percent	21.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MobileBay	Forest (km2) percent	69.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
OssabawSound	Forest (km2) percent	47.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PensacolaBay	Forest (km2) percent	69.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PerdidoBay	Forest (km2) percent	64.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SabineLake	Forest (km2) percent	64	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanAntonioBay	Forest (km2) percent	44.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanteeRivers	Forest (km2) percent	50.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SarasotaBay	Forest (km2) percent	3.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SavannahRiver	Forest (km2) percent	64.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrew-StSimonsSounds	Forest (km2) percent	56.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrewsBay	Forest (km2) percent	74.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StCatherines-SapeloSounds	Forest (km2) percent	58.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StHelenSound	Forest (km2) percent	41.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StJohnsRiver	Forest (km2) percent	34.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StMaryRiver-CumberlandSound	Forest (km2) percent	66.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Stono-NorthEdistoRivers	Forest (km2) percent	29.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SuwanneeRiver	Forest (km2) percent	49.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
TampaBay	Forest (km2) percent	4.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Terrebonne-TimbalierBays	Forest (km2) percent	0.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
UpperLagunaMadre	Forest (km2) percent	3.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WestMississippiSound	Forest (km2) percent	58.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WinyahBay	Forest (km2) percent	48.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AltamahaRiver	Wetland (km2) total	1932.13	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalacheeBay	Wetland (km2) total	1981.34	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalachicolaBay	Wetland (km2) total	2820.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AransasBay	Wetland (km2) total	238.279	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Atchafalaya-VermillionBays	Wetland (km2) total	14563.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaffinBay	Wetland (km2) total	98.4195	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaratariaBay	Wetland (km2) total	3209	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BiscayneBay	Wetland (km2) total	3426.55	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Breton-ChandeleurSound	Wetland (km2) total	1489.24	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BroadRiver	Wetland (km2) total	776.996	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlestonHarbor	Wetland (km2) total	1217.29	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlotteHarbor	Wetland (km2) total	1587.66	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CorpusChristi	Wetland (km2) total	69.9297	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
EastMississippiSound	Wetland (km2) total	880.596	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
GalvestonBay	Wetland (km2) total	1100.74	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
IndianRiver	Wetland (km2) total	357.418	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakeBorgne	Wetland (km2) total	1323.48	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakePontchartrain	Wetland (km2) total	1465.93	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LowerLagunaMadre	Wetland (km2) total	178.709	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MatagordaBay	Wetland (km2) total	442.888	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MermentauRiver	Wetland (km2) total	2724.67	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Mississippi-AtchafalayaPlume	Wetland (km2) total	33379.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MississippiRiver	Wetland (km2) total	33379.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MobileBay	Wetland (km2) total	2185.95	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
OssabawSound	Wetland (km2) total	1670.54	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PensacolaBay	Wetland (km2) total	683.757	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PerdidoBay	Wetland (km2) total	103.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SabineLake	Wetland (km2) total	1955.44	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanAntonioBay	Wetland (km2) total	326.339	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanteeRivers	Wetland (km2) total	652.677	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SarasotaBay	Wetland (km2) total	20.7199	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SavannahRiver	Wetland (km2) total	1911.41	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrew-StSimonsSounds	Wetland (km2) total	1825.94	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrewsBay	Wetland (km2) total	352.238	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StCatherines-SapeloSounds	Wetland (km2) total	758.867	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StHelenSound	Wetland (km2) total	2569.27	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StJohnsRiver	Wetland (km2) total	4283.84	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StMaryRiver-CumberlandSound	Wetland (km2) total	1201.75	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Stono-NorthEdistoRivers	Wetland (km2) total	453.248	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SuwanneeRiver	Wetland (km2) total	4607.59	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
TampaBay	Wetland (km2) total	515.408	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Terrebonne-TimbalierBays	Wetland (km2) total	1732.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
UpperLagunaMadre	Wetland (km2) total	282.309	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WestMississippiSound	Wetland (km2) total	2905.97	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WinyahBay	Wetland (km2) total	4651.62	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AltamahaRiver	Wetland (km2) percent	5.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalacheeBay	Wetland (km2) percent	14	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalachicolaBay	Wetland (km2) percent	5.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AransasBay	Wetland (km2) percent	3.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Atchafalaya-VermillionBays	Wetland (km2) percent	5.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaffinBay	Wetland (km2) percent	1.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaratariaBay	Wetland (km2) percent	74.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BiscayneBay	Wetland (km2) percent	51.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Breton-ChandeleurSound	Wetland (km2) percent	90.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BroadRiver	Wetland (km2) percent	33.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlestonHarbor	Wetland (km2) percent	3.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlotteHarbor	Wetland (km2) percent	13.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CorpusChristi	Wetland (km2) percent	0.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
EastMississippiSound	Wetland (km2) percent	3.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
GalvestonBay	Wetland (km2) percent	1.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
IndianRiver	Wetland (km2) percent	12.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakeBorgne	Wetland (km2) percent	5.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakePontchartrain	Wetland (km2) percent	12.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LowerLagunaMadre	Wetland (km2) percent	1.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MatagordaBay	Wetland (km2) percent	0.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MermentauRiver	Wetland (km2) percent	31.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Mississippi-AtchafalayaPlume	Wetland (km2) percent	1.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MississippiRiver	Wetland (km2) percent	1.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MobileBay	Wetland (km2) percent	1.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
OssabawSound	Wetland (km2) percent	13.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PensacolaBay	Wetland (km2) percent	3.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PerdidoBay	Wetland (km2) percent	3.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SabineLake	Wetland (km2) percent	3.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanAntonioBay	Wetland (km2) percent	1.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanteeRivers	Wetland (km2) percent	36.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SarasotaBay	Wetland (km2) percent	3.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SavannahRiver	Wetland (km2) percent	7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrew-StSimonsSounds	Wetland (km2) percent	17.9	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrewsBay	Wetland (km2) percent	13.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StCatherines-SapeloSounds	Wetland (km2) percent	34.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StHelenSound	Wetland (km2) percent	21.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StJohnsRiver	Wetland (km2) percent	19.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StMaryRiver-CumberlandSound	Wetland (km2) percent	27.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Stono-NorthEdistoRivers	Wetland (km2) percent	39.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SuwanneeRiver	Wetland (km2) percent	17.8	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
TampaBay	Wetland (km2) percent	9.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Terrebonne-TimbalierBays	Wetland (km2) percent	79.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
UpperLagunaMadre	Wetland (km2) percent	2.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WestMississippiSound	Wetland (km2) percent	7.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WinyahBay	Wetland (km2) percent	10	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AltamahaRiver	Range (km2) total	5.17998	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalacheeBay	Range (km2) total	12.9499	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalachicolaBay	Range (km2) total	23.3099	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AransasBay	Range (km2) total	1810.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Atchafalaya-VermillionBays	Range (km2) total	42289.3	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaffinBay	Range (km2) total	5449.33	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaratariaBay	Range (km2) total	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BiscayneBay	Range (km2) total	582.747	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Breton-ChandeleurSound	Range (km2) total	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BroadRiver	Range (km2) total	5.17998	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlestonHarbor	Range (km2) total	10.36	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlotteHarbor	Range (km2) total	3625.98	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CorpusChristi	Range (km2) total	28492.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
EastMississippiSound	Range (km2) total	46.6198	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
GalvestonBay	Range (km2) total	4428.88	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
IndianRiver	Range (km2) total	613.827	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakeBorgne	Range (km2) total	5.17998	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LakePontchartrain	Range (km2) total	7.76996	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
LowerLagunaMadre	Range (km2) total	6741.74	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MatagordaBay	Range (km2) total	58575.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MermentauRiver	Range (km2) total	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Mississippi-AtchafalayaPlume	Range (km2) total	695401	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MississippiRiver	Range (km2) total	695401	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
MobileBay	Range (km2) total	209.789	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
OssabawSound	Range (km2) total	82.8796	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PensacolaBay	Range (km2) total	15.5399	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
PerdidoBay	Range (km2) total	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SabineLake	Range (km2) total	72.5197	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanAntonioBay	Range (km2) total	2905.97	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SanteeRivers	Range (km2) total	5.17998	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SarasotaBay	Range (km2) total	157.989	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SavannahRiver	Range (km2) total	46.6198	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrew-StSimonsSounds	Range (km2) total	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StAndrewsBay	Range (km2) total	2.58999	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StCatherines-SapeloSounds	Range (km2) total	12.9499	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StHelenSound	Range (km2) total	10.36	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StJohnsRiver	Range (km2) total	1499.6	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
StMaryRiver-CumberlandSound	Range (km2) total	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Stono-NorthEdistoRivers	Range (km2) total	2.58999	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
SuwanneeRiver	Range (km2) total	18.1299	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
TampaBay	Range (km2) total	1118.87	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Terrebonne-TimbalierBays	Range (km2) total	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
UpperLagunaMadre	Range (km2) total	6822.03	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WestMississippiSound	Range (km2) total	10.36	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
WinyahBay	Range (km2) total	20.7199	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AltamahaRiver	Range (km2) percent	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalacheeBay	Range (km2) percent	0.1	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalachicolaBay	Range (km2) percent	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AransasBay	Range (km2) percent	28.4	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Atchafalaya-VermillionBays	Range (km2) percent	16.5	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaffinBay	Range (km2) percent	64	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BaratariaBay	Range (km2) percent	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BiscayneBay	Range (km2) percent	8.7	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
Breton-ChandeleurSound	Range (km2) percent	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
BroadRiver	Range (km2) percent	0.2	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlestonHarbor	Range (km2) percent	0	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
